#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
17	ABCB10_AD	ABCB10	23456	AD	0.1044	0.4639	0.5001	0.8652	0.0000	0.3108	0.0000	0.5001	0.5001	1.0000	0		Patent ductus arteriosus (HP:0001643)-increased systemic arterial diastolic blood pressure (MP:0006143), Aortic root aneurysm (HP:0002616)-increased systemic arterial diastolic blood pressure (MP:0006143), 		Proximity to ZBTB20 associated with Primrose syndrome (OMIM:259050): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to ZBTB20 Patent ductus arteriosus (HP:0001643)-eye hemorrhage (MP:0006203), Aortic root aneurysm (HP:0002616)-eye hemorrhage (MP:0006203), 	
18	ALK_AD	ALK	238	AD	0.1103	0.4447	0.5050	0.8512	0.2926	0.2815	0.2502	0.5050	0.5050	1.0000	0	Neuroblastoma (ORPHA:635): Patent ductus arteriosus (HP:0001643)-Lymphadenopathy (HP:0002716), Aortic root aneurysm (HP:0002616)-Lymphadenopathy (HP:0002716), Genu valgum (HP:0002857)-Horner syndrome (HP:0002277), 	Genu valgum (HP:0002857)-abnormal long bone diaphysis morphology (MP:0004214), 	Patent ductus arteriosus (HP:0001643)-iridophore spatial pattern, abnormal (ZP:0004997), Aortic root aneurysm (HP:0002616)-iridophore spatial pattern, abnormal (ZP:0004997), Genu valgum (HP:0002857)-melanocyte scale increased amount, abnormal (ZP:0019972), 	Proximity to CRIPTO associated with Septopreoptic holoprosencephaly (ORPHA:280195): Patent ductus arteriosus (HP:0001643)-Coarctation of aorta (HP:0001680), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), 	Proximity to TDGF1 Patent ductus arteriosus (HP:0001643)-absent vitelline blood vessels (MP:0001719), Aortic root aneurysm (HP:0002616)-absent vitelline blood vessels (MP:0001719), 	Proximity to CRIPTO Patent ductus arteriosus (HP:0001643)-heart tube bilateral symmetry, abnormal (ZP:0004552), Aortic root aneurysm (HP:0002616)-heart tube bilateral symmetry, abnormal (ZP:0004552), Genu valgum (HP:0002857)-notochord curved ventral, abnormal (ZP:0000628), 
19	KDM6B_AD	KDM6B	23135	AD	0.1135	0.4348	0.5021	0.8500	0.2986	0.3719	0.0000	0.5021	0.5021	1.0000	0	Stolerman neurodevelopmental syndrome (OMIM:618505): Patent ductus arteriosus (HP:0001643)-Hemangioma (HP:0001028), Aortic root aneurysm (HP:0002616)-Hemangioma (HP:0001028), Genu valgum (HP:0002857)-Syndactyly (HP:0001159), 	Genu valgum (HP:0002857)-short humerus (MP:0004351), 		Proximity to EHMT1 associated with Kleefstra syndrome due to 9q34 microdeletion (ORPHA:96147): Patent ductus arteriosus (HP:0001643)-Conotruncal defect (HP:0001710), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), Genu valgum (HP:0002857)-Flat occiput (HP:0005469), 	Proximity to EHMT1 Genu valgum (HP:0002857)-abnormal metopic suture morphology (MP:0003842), 	
20	ABCB6_AD	ABCB6	10058	AD	0.1152	0.4294	0.5119	0.8365	0.3116	0.0000	0.0000	0.5119	0.5119	1.0000	0	Microphthalmia, isolated, with coloboma 7 (OMIM:614497): Patent ductus arteriosus (HP:0001643)-Inferior chorioretinal coloboma (HP:0031613), Aortic root aneurysm (HP:0002616)-Inferior chorioretinal coloboma (HP:0031613), 			Proximity to ABCD4 associated with Methylmalonic aciduria and homocystinuria, cblJ type (OMIM:614857): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), 		
21	SECISBP2L_AD	SECISBP2L	9728	AD	0.1198	0.4153	0.5000	0.8438	0.0000	0.3577	0.0000	0.5000	0.5000	1.0000	0		Patent ductus arteriosus (HP:0001643)-increased heart rate (MP:0002626), Aortic root aneurysm (HP:0002616)-increased heart rate (MP:0002626), Genu valgum (HP:0002857)-abnormal hindlimb morphology (MP:0000556), 		Proximity to ARFGEF2 associated with Periventricular nodular heterotopia (ORPHA:98892): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Aortic aneurysm (HP:0004942), Genu valgum (HP:0002857)-Patellar dislocation (HP:0002999), 		Proximity to ARFGEF2 Patent ductus arteriosus (HP:0001643)-intersegmental vessel incomplete structure, abnormal (ZP:0020299), Aortic root aneurysm (HP:0002616)-intersegmental vessel incomplete structure, abnormal (ZP:0020299), 
22	ADGRV1_AD	ADGRV1	84059	AD	0.1207	0.4126	0.5000	0.8425	0.4622	0.4187	0.0000	0.5000	0.5000	1.0000	0	Generalized epilepsy with febrile seizures-plus (ORPHA:36387): Genu valgum (HP:0002857)-Tibial torsion (HP:0100694), 	Genu valgum (HP:0002857)-short tibia (MP:0002764), 		Proximity to HS2ST1 associated with Neurofacioskeletal syndrome with or without renal agenesis (OMIM:619194): Patent ductus arteriosus (HP:0001643)-Capillary hemangioma (HP:0005306), Aortic root aneurysm (HP:0002616)-Capillary hemangioma (HP:0005306), Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to HS2ST1 Genu valgum (HP:0002857)-cervical vertebral fusion (MP:0004620), 	
23	CERT1_AD	CERT1	10087	AD	0.1296	0.3856	0.4902	0.8414	0.2889	0.4902	0.0000	0.0000	0.4902	1.0000	0	Intellectual developmental disorder, autosomal dominant 34 (OMIM:616351): Genu valgum (HP:0002857)-Short foot (HP:0001773), 	Patent ductus arteriosus (HP:0001643)-muscular ventricular septal defect (MP:0010420), Aortic root aneurysm (HP:0002616)-persistent trigeminal artery (MP:0020500), Genu valgum (HP:0002857)-absent tibia (MP:0002728), 				
24	PAPSS1_AD	PAPSS1	9061	AD	0.1331	0.3753	0.5255	0.7966	0.0000	0.0000	0.0000	0.5255	0.5255	1.0000	0				Proximity to KCNN3 associated with Zimmermann-Laband syndrome 3 (OMIM:618658): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Long hallux (HP:0001847), 		
25	PHF11_AD	PHF11	51131	AD	0.1383	0.3601	0.5015	0.8167	0.0000	0.1394	0.0000	0.5015	0.5015	1.0000	0		Genu valgum (HP:0002857)-increased basophil cell number (MP:0002606), 		Proximity to SMARCB1 associated with Coffin-Siris syndrome (ORPHA:1465): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Hypoplastic fifth toenail (HP:0011937), 		
26	SRA1_AR	SRA1	10011	AR	0.1399	0.3556	0.5143	0.8000	0.0000	0.2136	0.3185	0.5143	0.5143	1.0000	0		Genu valgum (HP:0002857)-abnormal bone structure (MP:0003795), 	Patent ductus arteriosus (HP:0001643)-cardiac ventricle increased size, abnormal (ZP:0001207), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 	Proximity to AGGF1 associated with Klippel-Trénaunay syndrome (ORPHA:90308): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Lower limb asymmetry (HP:0100559), 	Proximity to AGGF1 Patent ductus arteriosus (HP:0001643)-abnormal vascular development (MP:0000259), Aortic root aneurysm (HP:0002616)-abnormal vascular development (MP:0000259), 	Proximity to AGGF1 Patent ductus arteriosus (HP:0001643)-intersegmental vessel morphology, abnormal (ZP:0001301), Aortic root aneurysm (HP:0002616)-intersegmental vessel morphology, abnormal (ZP:0001301), 
27	ATP11B_AD	ATP11B	23200	AD	0.1438	0.3442	0.5000	0.8108	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0					Proximity to RBPMS Patent ductus arteriosus (HP:0001643)-patent ductus arteriosus (MP:0003139), Aortic root aneurysm (HP:0002616)-patent ductus arteriosus (MP:0003139), 	
28	IFITM5_AD	IFITM5	387733	AD	0.1438	0.3441	0.5780	0.7225	0.3221	0.5780	0.0000	0.5000	0.5780	1.0000	0	Osteogenesis imperfecta, type V (OMIM:610967): Genu valgum (HP:0002857)-Pes planus (HP:0001763), 	Genu valgum (HP:0002857)-bowed tibia (MP:0004358), 		Proximity to EIF2AK3 associated with Wolcott-Rallison syndrome (OMIM:226980): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to EIF2AK3 Genu valgum (HP:0002857)-abnormal hindlimb morphology (MP:0000556), 	
29	PRAMEF33_AR	PRAMEF33	645382	AR	0.1445	0.3419	0.3319	1.0000	0.0000	0.3319	0.0000	0.0000	0.3319	1.0000	0		Patent ductus arteriosus (HP:0001643)-small heart (MP:0002188), Aortic root aneurysm (HP:0002616)-small heart (MP:0002188), 				
30	NEO1_AD	NEO1	4756	AD	0.1478	0.3327	0.5055	0.7989	0.0000	0.0000	0.2872	0.5055	0.5055	1.0000	0			Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), Genu valgum (HP:0002857)-post-vent region increased curvature, abnormal (ZP:0001091), 	Proximity to CDON associated with Septopreoptic holoprosencephaly (ORPHA:280195): Patent ductus arteriosus (HP:0001643)-Coarctation of aorta (HP:0001680), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), 	Proximity to CDON Patent ductus arteriosus (HP:0001643)-abnormal blood vessel morphology (MP:0001614), Aortic root aneurysm (HP:0002616)-abnormal blood vessel morphology (MP:0001614), Genu valgum (HP:0002857)-domed cranium (MP:0000440), 	Proximity to CDON Patent ductus arteriosus (HP:0001643)-optic fissure closure incomplete, abnormal (ZP:0000190), 
31	POTEF_AR	POTEF	728378	AR	0.1494	0.3286	0.5028	0.8000	0.0000	0.0000	0.0000	0.5028	0.5028	1.0000	0				Proximity to CFL2 associated with Typical nemaline myopathy (ORPHA:171436): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 		
32	LTBP3_AD	LTBP3	4054	AD	0.1494	0.3285	0.5113	0.7904	0.3701	0.3770	0.3509	0.5113	0.5113	1.0000	0	Dental anomalies and short stature (OMIM:601216): Patent ductus arteriosus (HP:0001643)-Mitral valve prolapse (HP:0001634), Aortic root aneurysm (HP:0002616)-Mitral valve prolapse (HP:0001634), Genu valgum (HP:0002857)-Intervertebral space narrowing (HP:0002945), 	Genu valgum (HP:0002857)-domed cranium (MP:0000440), 	Patent ductus arteriosus (HP:0001643)-bulbus arteriosus lacks all parts of type smooth muscle myoblast, abnormal (ZP:0008250), Aortic root aneurysm (HP:0002616)-pharyngeal vasculature malformed, abnormal (ZP:0008255), 	Proximity to LTBP1 associated with Autosomal recessive cutis laxa type 1 (ORPHA:90349): Patent ductus arteriosus (HP:0001643)-Peripheral pulmonary artery stenosis (HP:0004969), Aortic root aneurysm (HP:0002616)-Vascular dilatation (HP:0002617), Genu valgum (HP:0002857)-Hip dislocation (HP:0002827), 	Proximity to LTBP1 Patent ductus arteriosus (HP:0001643)-abnormal coronary artery morphology (MP:0004111), Aortic root aneurysm (HP:0002616)-right aortic arch (MP:0004158), 	
33	BMP8A_AD	BMP8A	353500	AD	0.1499	0.3270	0.5021	0.8000	0.0000	0.0000	0.0000	0.5021	0.5021	1.0000	0				Proximity to BMPR1A associated with Juvenile polyposis of infancy (ORPHA:79076): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Broad phalanx of the toes (HP:0010174), 		Proximity to BMPR1A Patent ductus arteriosus (HP:0001643)-heart tube morphology, abnormal (ZP:0000454), Aortic root aneurysm (HP:0002616)-heart tube morphology, abnormal (ZP:0000454), 
34	NID1_AD	NID1	4811	AD	0.1509	0.3245	0.5023	0.7986	0.0000	0.3682	0.0000	0.5023	0.5023	1.0000	0		Patent ductus arteriosus (HP:0001643)-abnormal capillary morphology (MP:0003658), Aortic root aneurysm (HP:0002616)-abnormal capillary morphology (MP:0003658), 		Proximity to COL5A1 associated with Ehlers-Danlos syndrome, classic type, 1 (OMIM:130000): Patent ductus arteriosus (HP:0001643)-Aortic root aneurysm (HP:0002616), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), Genu valgum (HP:0002857)-Hyperextensibility of the knee (HP:0010500), 	Proximity to COL5A1 Patent ductus arteriosus (HP:0001643)-abnormal aorta morphology (MP:0000272), Aortic root aneurysm (HP:0002616)-abnormal aorta morphology (MP:0000272), 	
35	KRR1_AD	KRR1	11103	AD	0.1512	0.3239	0.5008	0.8000	0.0000	0.0000	0.0000	0.5008	0.5008	1.0000	0				Proximity to HNRNPK associated with Au-Kline syndrome (OMIM:616580): Patent ductus arteriosus (HP:0001643)-Aortic root aneurysm (HP:0002616), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), Genu valgum (HP:0002857)-Coxa valga (HP:0002673), 		
36	ALPG_AD	ALPG	251	AD	0.1513	0.3236	0.5006	0.8000	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to HACD1 associated with Congenital myopathy 11 (OMIM:619967): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), 	Proximity to HACD1 Patent ductus arteriosus (HP:0001643)-abnormal blood vessel morphology (MP:0001614), Aortic root aneurysm (HP:0002616)-abnormal blood vessel morphology (MP:0001614), 	
